,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB06584,1.894736842,-0.667584765,0.252199343,1,31
DB08492,2.657894737,2.178422402,0.985312698,1,5
DB05122,1.868421053,-0.823148074,0.205211897,1,32
DB03394,2.210526316,0.454790739,0.675370103,1,16
DB03556,2.210526316,0.668729091,0.748165847,1,16
DB04463,2.210526316,0.460157135,0.677298282,1,16
DB05319,2.289473684,0.58302817,0.720062832,1,8
DB05831,2.289473684,0.699341579,0.757830706,1,8
DB06607,2.289473684,0.849663789,0.802243982,1,8
DB09336,2.289473684,0.802242218,0.78879357,1,8
DB11075,2.289473684,0.52927973,0.701694293,1,8
DB01827,1.815789474,-1.043201536,0.148427481,1,67
DB04465,1.815789474,-1.327877486,0.092109292,1,67
DB06266,2.026315789,-0.283311292,0.388469111,1,21
DB09343,2.236842105,0.552315082,0.70963375,1,9
DB05260,1.868421053,-0.775035181,0.219159436,1,44
DB00182,2.184210526,0.510115798,0.695014831,1,8
DB00191,2.184210526,0.208590314,0.582615964,1,8
DB00721,2.184210526,0.565131231,0.714007746,1,8
DB00752,2.184210526,0.323395958,0.626802305,1,8
DB00780,2.184210526,0.364994295,0.642442168,1,8
DB00805,2.184210526,0.714802242,0.762634375,1,8
DB00909,2.184210526,0.384295645,0.649620332,1,8
DB01037,2.184210526,0.284594242,0.612022488,1,8
DB01168,2.184210526,0.483965559,0.685794844,1,8
