"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67"
"phenylpropanoid metabolic process (GO:0009698)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"neuroblast proliferation (GO:0007405)",NA,21271,74,67,15,0,0,0.0462346461049716,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"purine ribonucleoside monophosphate biosynthetic process (GO:0009168)",NA,21271,74,67,63,0,0,0.180485394290822,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"purine ribonucleoside monophosphate catabolic process (GO:0009169)",NA,21271,74,67,331,2,0.00604229607250755,0.086559442695353,1,"TOR1B","ABCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"substantia nigra development (GO:0021762)",NA,21271,74,67,44,0,0,0.12973011239104,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"suckling behavior (GO:0001967)",NA,21271,74,67,15,0,0,0.0462346461049716,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to hypoxia (GO:0001666)",NA,21271,74,67,240,4,0.0166666666666667,0.000958697728832799,1,"AQP1","HMOX1","BBC3","CLCA1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phosphorelay signal transduction system (GO:0000160)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to corticosterone (GO:0051412)",NA,21271,74,67,22,0,0,0.0670838263233159,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"anatomical structure homeostasis (GO:0060249)",NA,21271,74,67,207,0,0,0.481197183801148,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAPK cascade (GO:0000165)",NA,21271,74,67,169,1,0.00591715976331361,0.0993370817147758,1,"AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to oxidative stress (GO:0006979)",NA,21271,74,67,289,5,0.0173010380622837,0.000297434959893154,1,"AQP1","MGST1","HMOX1","TXNIP","SRXN1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"detection of other organism (GO:0098543)",NA,21271,74,67,11,0,0,0.0341154525335604,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein ADP-ribosylation (GO:0006471)",NA,21271,74,67,20,0,0,0.0611731665264154,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pyrimidine deoxyribonucleotide metabolic process (GO:0009219)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"synaptic transmission, dopaminergic (GO:0001963)",NA,21271,74,67,11,0,0,0.0341154525335604,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of stem cell proliferation (GO:2000648)",NA,21271,74,67,63,0,0,0.180485394290822,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of type 2 immune response (GO:0002828)",NA,21271,74,67,22,0,0,0.0670838263233159,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of type 2 immune response (GO:0002829)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of T-helper 1 type immune response (GO:0002827)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824)",NA,21271,74,67,70,0,0,0.198440039057127,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of T-helper 1 type immune response (GO:0002825)",NA,21271,74,67,20,0,0,0.0611731665264154,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)",NA,21271,74,67,102,0,0,0.275705481828695,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002823)",NA,21271,74,67,26,0,0,0.0787953888796283,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of adaptive immune response (GO:0002820)",NA,21271,74,67,29,0,0,0.0874839019111785,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of adaptive immune response (GO:0002821)",NA,21271,74,67,73,0,0,0.206015742319623,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"neuromuscular junction development (GO:0007528)",NA,21271,74,67,33,0,0,0.0989431251399334,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sensory perception of pain (GO:0019233)",NA,21271,74,67,49,1,0.0204081632653061,0.010448505437042,1,"AQP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cell size (GO:0008361)",NA,21271,74,67,31,0,0,0.0932313450640775,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cell shape (GO:0008360)",NA,21271,74,67,111,1,0.00900900900900901,0.0479047755640941,1,"ITGA7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"organ induction (GO:0001759)",NA,21271,74,67,16,0,0,0.0492409633194504,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"axon ensheathment (GO:0008366)",NA,21271,74,67,61,0,0,0.175283125991737,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of stem cell proliferation (GO:2000647)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"neural crest cell migration (GO:0001755)",NA,21271,74,67,34,1,0.0294117647058824,0.00513783507892877,1,"LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eye photoreceptor cell differentiation (GO:0001754)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"somitogenesis (GO:0001756)",NA,21271,74,67,40,1,0.025,0.00705729588288795,1,"LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
