"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"APOPTOTIC_PROGRAM","http://www.broadinstitute.org/gsea/msigdb/cards/APOPTOTIC_PROGRAM",33727,74,38,60,2,0.0333333333333333,4.31929259259847e-05,0.0356341638889374,"MCL1","BBC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_CELL_CELL_ADHESION","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_CELL_CELL_ADHESION",33727,74,38,10,1,0.1,5.53073054318035e-05,0.0456285269812379,"GTPBP4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROTEIN_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/PROTEIN_METABOLIC_PROCESS",33727,74,38,1231,7,0.00568643379366369,5.6710274606438e-05,0.0467859765503113,"GTPBP4","CHST12","CD81","ATP6AP2","SQSTM1","PIGS","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS",33727,74,38,1244,7,0.00562700964630225,6.10534382982218e-05,0.050369086596033,"CPSF3L","ID1","GTPBP4","PPARG","TCF7","SQSTM1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROTEIN_MATURATION","http://www.broadinstitute.org/gsea/msigdb/cards/PROTEIN_MATURATION",33727,74,38,11,1,0.0909090909090909,6.75497382879546e-05,0.0557285340875626,"ATP6AP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROTEIN_STABILIZATION","http://www.broadinstitute.org/gsea/msigdb/cards/PROTEIN_STABILIZATION",33727,74,38,11,1,0.0909090909090909,6.75497382879546e-05,0.0557285340875626,"GTPBP4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XENOBIOTIC_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/XENOBIOTIC_METABOLIC_PROCESS",33727,74,38,11,1,0.0909090909090909,6.75497382879546e-05,0.0557285340875626,"UGT1A6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APOPTOTIC_MITOCHONDRIAL_CHANGES","http://www.broadinstitute.org/gsea/msigdb/cards/APOPTOTIC_MITOCHONDRIAL_CHANGES",33727,74,38,11,1,0.0909090909090909,6.75497382879546e-05,0.0557285340875626,"BBC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHOSPHOLIPID_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/PHOSPHOLIPID_METABOLIC_PROCESS",33727,74,38,74,2,0.027027027027027,8.09361590763515e-05,0.06677233123799,"PIGS","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RESPONSE_TO_XENOBIOTIC_STIMULUS","http://www.broadinstitute.org/gsea/msigdb/cards/RESPONSE_TO_XENOBIOTIC_STIMULUS",33727,74,38,12,1,0.0833333333333333,8.10020354897191e-05,0.0668266792790183,"UGT1A6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEGATIVE_REGULATION_OF_DNA_REPLICATION","http://www.broadinstitute.org/gsea/msigdb/cards/NEGATIVE_REGULATION_OF_DNA_REPLICATION",33727,74,38,13,1,0.0769230769230769,9.566159896834e-05,0.0789208191488805,"GTPBP4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION","http://www.broadinstitute.org/gsea/msigdb/cards/POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION",33727,74,38,13,1,0.0769230769230769,9.566159896834e-05,0.0789208191488805,"CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_GENE_EXPRESSION","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_GENE_EXPRESSION",33727,74,38,673,5,0.00742942050520059,9.89397188520348e-05,0.0816252680529287,"TCF7","ID1","PPARG","SQSTM1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS",33727,74,38,677,5,0.00738552437223043,0.00010219953558857,0.0843146168605704,"ID1","GTPBP4","TAX1BP1","MCL1","BBC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_BIOLOGICAL_QUALITY","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_BIOLOGICAL_QUALITY",33727,74,38,419,4,0.00954653937947494,0.00010347575807593,0.0853675004126426,"ATP6AP2","SLC1A3","GTPBP4","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_SIGNAL_TRANSDUCTION","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_SIGNAL_TRANSDUCTION",33727,74,38,222,3,0.0135135135135135,0.000113138014523849,0.0933388619821751,"SQSTM1","ATP6AP2","HMOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AEROBIC_RESPIRATION","http://www.broadinstitute.org/gsea/msigdb/cards/AEROBIC_RESPIRATION",33727,74,38,15,1,0.0666666666666667,0.000128592152741678,0.106088526011884,"UQCRB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROTEOGLYCAN_BIOSYNTHETIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/PROTEOGLYCAN_BIOSYNTHETIC_PROCESS",33727,74,38,15,1,0.0666666666666667,0.000128592152741678,0.106088526011884,"CHST12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KERATINOCYTE_DIFFERENTIATION","http://www.broadinstitute.org/gsea/msigdb/cards/KERATINOCYTE_DIFFERENTIATION",33727,74,38,15,1,0.0666666666666667,0.000128592152741678,0.106088526011884,"TXNIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMINE_BIOSYNTHETIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/AMINE_BIOSYNTHETIC_PROCESS",33727,74,38,15,1,0.0666666666666667,0.000128592152741678,0.106088526011884,"BCAT1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_ACTIVITY","http://www.broadinstitute.org/gsea/msigdb/cards/NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_ACTIVITY",33727,74,38,15,1,0.0666666666666667,0.000128592152741678,0.106088526011884,"ID1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEGATIVE_REGULATION_OF_CELL_MIGRATION","http://www.broadinstitute.org/gsea/msigdb/cards/NEGATIVE_REGULATION_OF_CELL_MIGRATION",33727,74,38,15,1,0.0666666666666667,0.000128592152741678,0.106088526011884,"GTPBP4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION","http://www.broadinstitute.org/gsea/msigdb/cards/POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION",33727,74,38,15,1,0.0666666666666667,0.000128592152741678,0.106088526011884,"ATP6AP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER","http://www.broadinstitute.org/gsea/msigdb/cards/TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER",33727,74,38,457,4,0.0087527352297593,0.00015514892722465,0.127997864960336,"TCF7","PPARG","SQSTM1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_CASCADE","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_CASCADE",33727,74,38,93,2,0.021505376344086,0.000159645661998852,0.131707671149053,"HMOX1","SQSTM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_TRANSCRIPTIONDNA_DEPENDENT","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_TRANSCRIPTIONDNA_DEPENDENT",33727,74,38,461,4,0.00867678958785249,0.000161561425959613,0.133288176416681,"TCF7","PPARG","SQSTM1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RESPONSE_TO_NUTRIENT","http://www.broadinstitute.org/gsea/msigdb/cards/RESPONSE_TO_NUTRIENT",33727,74,38,17,1,0.0588235294117647,0.000166320696023807,0.137214574219641,"PPARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEGATIVE_REGULATION_OF_DNA_BINDING","http://www.broadinstitute.org/gsea/msigdb/cards/NEGATIVE_REGULATION_OF_DNA_BINDING",33727,74,38,17,1,0.0588235294117647,0.000166320696023807,0.137214574219641,"ID1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERACTION_WITH_HOST","http://www.broadinstitute.org/gsea/msigdb/cards/INTERACTION_WITH_HOST",33727,74,38,17,1,0.0588235294117647,0.000166320696023807,0.137214574219641,"CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
