"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9"
"chr14q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p34","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p34",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q16","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q16",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr16q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr16q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr9q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr15q25","http://www.broadinstitute.org/gsea/msigdb/cards/chr15q25",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr18q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr18q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3p25","http://www.broadinstitute.org/gsea/msigdb/cards/chr3p25",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr20p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr20p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr8q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4p15","http://www.broadinstitute.org/gsea/msigdb/cards/chr4p15",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr12p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr9p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q37","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q37",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q29","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q29",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr16p","http://www.broadinstitute.org/gsea/msigdb/cards/chr16p",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr13q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr13q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3p21","http://www.broadinstitute.org/gsea/msigdb/cards/chr3p21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
