Gene,logFC,logCPM,LR,PValue,FDR,gid
LIF,0.799683494,3.02246594,6.559410469,0.010433092,0.038038103,LIF
CYP2C9,0.7983826,1.739371755,9.660970692,0.001882241,0.010893202,CYP2C9
CDC42EP2,0.798034879,2.783002891,17.30243258,3.19E-05,0.000675337,CDC42EP2
WNK2,0.797685915,5.670498801,21.0213405,4.54E-06,0.000219892,WNK2
SLC25A25-AS1,0.796976929,1.901367428,19.94715899,7.96E-06,0.000301389,SLC25A25-AS1
AGO2,0.795555809,5.917388436,27.10497931,1.93E-07,3.81E-05,AGO2
C6orf141,0.794557922,0.89908252,12.25746674,0.0004634,0.004095763,C6orf141
GADD45B,0.792587179,4.93913465,6.737189343,0.009442328,0.035347301,GADD45B
CLCNKB,0.791936243,0.841505745,12.93214066,0.000322988,0.003188717,CLCNKB
MAMDC4,0.791899089,2.074607187,20.04465434,7.57E-06,0.000293017,MAMDC4
ATP12A,0.791890755,6.852939335,21.37957518,3.77E-06,0.000200353,ATP12A
SOX7,0.789389428,3.140747008,17.04501739,3.65E-05,0.000734212,SOX7
DOT1L,0.788743936,4.653733008,26.02659308,3.37E-07,5.24E-05,DOT1L
NUP210,0.78680687,3.048750428,25.42765316,4.59E-07,6.13E-05,NUP210
ZHX2,0.785197261,3.794244457,16.4378845,5.03E-05,0.000910935,ZHX2
AFAP1,0.781608228,5.090664974,21.02364585,4.54E-06,0.000219892,AFAP1
AGRN,0.781295267,8.194971623,17.9310176,2.29E-05,0.000565668,AGRN
PPM1J,0.781005287,1.399464153,7.842133765,0.005104232,0.022537103,PPM1J
CREB3L1,0.780586974,5.074491521,16.51273985,4.83E-05,0.000887965,CREB3L1
PARP10,0.779983616,5.954898754,14.8596957,0.000115811,0.001588854,PARP10
PLAGL1,0.779702431,2.235938016,10.76722767,0.001033131,0.007114461,PLAGL1
CYP2W1,0.778993343,2.135969071,15.23154983,9.51E-05,0.001397378,CYP2W1
PLAUR,0.77795694,2.628790535,5.312114539,0.021177637,0.062674023,PLAUR
ZNF296,0.77725569,1.735655817,15.66558452,7.56E-05,0.001196219,ZNF296
GMPR,0.776235251,2.492603563,3.847074938,0.049832826,0.11798195,GMPR
KIRREL1,0.775964139,3.867374063,13.18878557,0.000281629,0.002887402,KIRREL1
LINC01000,0.772952778,4.810173478,29.85986785,4.64E-08,1.97E-05,LINC01000
EPHA2,0.772902766,7.482493677,18.70522179,1.53E-05,0.000442335,EPHA2
LOC105371492,0.772703778,0.671955933,10.26035263,0.001359197,0.008586646,LOC105371492
GRHL3,0.771841045,3.843985835,6.764696195,0.009297875,0.0350639,GRHL3
NPTXR,0.771178857,3.241894205,10.23229295,0.00138003,0.008699558,NPTXR
LIPG,0.771090091,1.781739042,5.650978105,0.017445639,0.054445532,LIPG
LINC01451,0.769520952,1.894480476,12.82531099,0.000341962,0.003323894,LINC01451
KDM6B,0.769445037,5.096976042,21.33158927,3.86E-06,0.000201393,KDM6B
ZNFX1,0.768248288,6.745043886,14.44130552,0.000144596,0.001841585,ZNFX1
E2F2,0.766939584,0.999509292,7.209897709,0.007250263,0.029392168,E2F2
C1QTNF6,0.766866147,2.073873102,16.07629878,6.08E-05,0.001037246,C1QTNF6
SH2B3,0.766137034,2.954180219,11.81928289,0.000586204,0.00479665,SH2B3
LOC101927999,0.764814645,2.117787689,18.23265139,1.95E-05,0.00051375,LOC101927999
APOL6,0.764549389,5.953657291,11.93535963,0.000550785,0.004591394,APOL6
BOC,0.763662659,1.833292318,12.63800928,0.000377982,0.003564339,BOC
ZNF467,0.763652855,2.470062132,15.67420252,7.52E-05,0.001192605,ZNF467
CRAMP1,0.763536389,5.137028441,35.04849723,3.22E-09,3.31E-06,CRAMP1
AVIL,0.763419976,1.922486164,10.45101834,0.001225819,0.008018232,AVIL
TLE3,0.76269666,5.037213415,17.45804964,2.94E-05,0.000642056,TLE3
BHLHE41,0.762444916,3.674631875,6.469047111,0.010976937,0.039365299,BHLHE41
DUSP10,0.761670998,4.554208932,6.609337273,0.010144541,0.037310273,DUSP10
XYLT1,0.761604321,1.243354252,5.74256001,0.016558641,0.052424706,XYLT1
PLEKHA4,0.761169719,5.073441206,10.34910868,0.001295372,0.008315596,PLEKHA4
MIOX,0.760246161,1.359142233,7.374275524,0.006616344,0.027471104,MIOX
SPTBN5,0.759651182,1.137564794,10.03515764,0.001535804,0.009370419,SPTBN5
MIR4683,0.759363555,-0.303144552,6.881907574,0.008707258,0.033415431,MIR4683
MUC5B,0.759264673,9.055417484,15.90501059,6.66E-05,0.001106156,MUC5B
LY6E,0.758940045,7.581668617,9.324282518,0.002261368,0.01245732,LY6E
PITPNM2,0.75885675,1.840849693,8.304724451,0.003954208,0.018750511,PITPNM2
PLEKHG2,0.758834861,3.071590006,10.933112,0.000944607,0.00667933,PLEKHG2
NLRP1,0.758791762,3.365085139,18.6466156,1.57E-05,0.000449228,NLRP1
IRS2,0.756414348,3.71532635,20.16016404,7.12E-06,0.000283103,IRS2
HMCN1,0.756100022,2.107841548,4.129717418,0.042136386,0.104202704,HMCN1
GTSE1,0.755268678,1.697018971,8.736170342,0.00311959,0.015807249,GTSE1
IL2RB,0.754941407,1.212093067,4.442120304,0.035062676,0.090890977,IL2RB
DIP2C,0.754746936,2.744481755,11.7557358,0.00060656,0.004899277,DIP2C
ARTN,0.754065921,2.981462166,8.187353892,0.004218341,0.019599519,ARTN
KLF4,0.754013352,5.355005367,14.9059577,0.000113006,0.00156314,KLF4
H3-2,0.753523507,1.3694094,13.19054275,0.000281365,0.002887402,H3-2
PRAG1,0.753041805,4.077662911,16.09246328,6.03E-05,0.001035441,PRAG1
ZC3H4,0.752794617,5.291234315,15.70397716,7.41E-05,0.001178926,ZC3H4
ACE,0.752555866,1.661426826,7.08900686,0.007755822,0.030818115,ACE
BICRA,0.752096207,3.117608703,15.12424838,0.000100662,0.001448095,BICRA
NLGN2,0.751472714,2.987702668,8.625732913,0.003314471,0.016485044,NLGN2
LOC105372707,0.751417424,1.718482762,11.86819077,0.000571009,0.004715963,LOC105372707
USP32P2,0.751088339,0.080397879,6.225126446,0.012594991,0.043326656,USP32P2
FRAS1,0.75066479,4.619793975,21.59509458,3.37E-06,0.000193014,FRAS1
CISH,0.75019625,0.401751697,6.918799059,0.008529424,0.032973458,CISH
SLX4,0.749796767,2.902404772,18.73289485,1.50E-05,0.0004404,SLX4
PLCH2,0.7493107,5.916176162,15.30712534,9.14E-05,0.001354428,PLCH2
PGGHG,0.749289163,3.679017401,18.48456689,1.71E-05,0.000472864,PGGHG
LOC105373102,0.748896049,0.524344329,9.894477237,0.001657755,0.009909139,LOC105373102
GOLGA7B,0.748692738,1.506247772,8.292257888,0.003981445,0.018852581,GOLGA7B
TET3,0.748557719,5.671017318,22.13171651,2.55E-06,0.000174083,TET3
NAV2,0.747086808,5.795443612,31.17506974,2.36E-08,1.32E-05,NAV2
GBP5,0.747036513,3.469887654,19.29432141,1.12E-05,0.000361257,GBP5
TSC22D2,0.745551593,3.790856397,16.60048318,4.61E-05,0.000861475,TSC22D2
PADI2,0.74545645,1.880990924,11.41366302,0.000729059,0.005559032,PADI2
GAL3ST4,0.745191774,1.621690502,6.337671263,0.011819996,0.041424837,GAL3ST4
SERPING1,0.745164821,2.72399355,6.057903175,0.013844197,0.046172795,SERPING1
ROBO3,0.744684176,0.786669775,6.086614762,0.013620982,0.045700784,ROBO3
RREB1,0.744255786,5.715542716,34.54989681,4.15E-09,3.69E-06,RREB1
KMT2D,0.743382623,6.586690802,32.86563039,9.88E-09,6.78E-06,KMT2D
BRD1,0.742700844,5.400220198,28.86318812,7.77E-08,2.37E-05,BRD1
