Gene,logFC,logCPM,LR,PValue,FDR
EMC4,-0.105731746,5.657623489,0.253534837,0.614597015,0.996621727
GABRB3,-0.201859505,2.268355664,0.253465878,0.61464515,0.996621727
EIF2B1,0.09865852,4.840711133,0.253437431,0.61466501,0.996621727
MORF4L1,0.122263797,6.531153707,0.253363322,0.614716753,0.996621727
ATP6V1D,-0.119937794,6.534480302,0.25316541,0.614854981,0.996621727
AGBL3,-0.23682488,2.715797551,0.253020977,0.614955902,0.996621727
LOC112268238,0.254769555,0.358594369,0.252948555,0.615006519,0.996621727
NDUFAB1,-0.171779703,5.302082568,0.252865482,0.615064591,0.996621727
HSD11B2,-0.286276255,1.900581186,0.25279271,0.615115473,0.996621727
LPAR3,-0.189211065,3.862079167,0.252677519,0.615196032,0.996621727
NPIPB9,0.148971452,4.67931122,0.252597211,0.61525221,0.996621727
NPIPB8,-0.157846496,1.840951696,0.252554466,0.615282115,0.996621727
PTPRK,0.177328266,7.437323613,0.252462379,0.615346553,0.996621727
MRI1,0.109528038,4.52684245,0.252360969,0.615417531,0.996621727
DNAJC28,0.153632291,1.296385446,0.252190811,0.615536667,0.996621727
TSPAN14,0.117411718,6.863146902,0.252024703,0.615653016,0.996621727
PCDHB13,-0.179571668,2.317431322,0.251970972,0.615690662,0.996621727
NSMCE2,-0.122802547,3.720503171,0.25179488,0.615814073,0.996621727
SHC4,0.200163115,3.163424568,0.251664802,0.615905271,0.996621727
RMND5A,-0.123521681,6.019407865,0.251599003,0.615951414,0.996621727
AP1S3,0.16169771,4.311173443,0.251536662,0.615995139,0.996621727
PARS2,-0.132887327,2.446365643,0.25145057,0.616055534,0.996621727
VDR,0.17154,4.615190234,0.251366533,0.616114499,0.996621727
AARSD1,-0.134298213,4.05309881,0.251261755,0.616188035,0.996621727
DYRK1B,0.123901904,4.791914258,0.25121086,0.616223762,0.996621727
MAGI2,0.211311997,1.671393343,0.250912373,0.616433379,0.996621727
EPB41L4B,-0.138985262,5.965925594,0.250857391,0.616472008,0.996621727
KDM7A-DT,-0.186144309,3.860924312,0.250834825,0.616487864,0.996621727
BET1L,0.103209577,5.444453656,0.250800766,0.616511797,0.996621727
LINC00920,-0.204229527,0.711473264,0.250606301,0.616648486,0.996621727
ZNF362,0.13443169,4.27847255,0.25034023,0.616835613,0.996621727
ZADH2,0.105008153,5.070601373,0.250339354,0.616836229,0.996621727
